Region;Zone;Wereda;pcode;Date;seasone;seson_year;directely affected;Indirectly Affected;Affected;Deaths;Injured;Crop Damages;Lost Cattle ;Relocated ;Houses Destroyed 
 Amhara; South Welo;Kombolcha /Town/;#N/A;01/08/2005;Kiremt;Kiremt_2005;; ;;1;1; ;0; ; 
 SNNPR; Wolayita;Kindo Koyisha;#N/A;07/09/2006;Kiremt;Kiremt_2006;;4035,00;4035; ; ; ;0; ; 
 Somali; Gode;Gode;050604;07/09/2006;Kiremt;Kiremt_2006;;5650,00;5650;10; ;;333; ; 
 Somali; Gode;Ferfer;050607;07/09/2006;Kiremt;Kiremt_2006;;13514,00;13514; ; ; ;0; ; 
 Somali; Gode;Ferfer;050607;07/09/2005;Kiremt;Kiremt_2005;;18500,00;18500;5; ; ;0; ; 
 Amhara; Oromiya Zone;Kemise /Town/;#N/A;01/08/2010;Kiremt;Kiremt_2010;;1169,00;1169; ; ;28;9;1139; 
 Amhara; Oromiya Zone;Kemise /Town/;#N/A;07/09/2006;Kiremt;Kiremt_2006;;1180,00;1180; ; ;105;0; ; 
 Amhara; Oromiya Zone;Kemise /Town/;#N/A;01/08/2006;Kiremt;Kiremt_2006;; ;;2; ; ;0; ; 
 Amhara; Oromiya Zone;Kemise /Town/;#N/A;07/09/2006;Kiremt;Kiremt_2006;;1279,00;1279; ; ;607;0;952; 
 Somali; Jijiga;Kebri Beyah;#N/A;27/04/2005;Belge;Belge_2005;; ;;16; ; ;0; ;108
 Somali; Jijiga;Kebri Beyah;#N/A;05/12/2005;Kiremt;Kiremt_2005;;24550,00;24550;53; ;2500;27638;125000;5600
 Gambella; Nuer;jore;120204;01/08/2010;Kiremt;Kiremt_2010;;1250,00;1250; ; ; ;0; ; 
 Somali; Degehabur;Gashamo;050304;07/09/2005;Kiremt;Kiremt_2005;;105000,00;105000; ; ; ;0; ; 
 Somali; Degehabur;Degehabur;050302;05/12/2005;Kiremt;Kiremt_2005;;10000,00;10000;10; ;;3125; ; 
 Gambella; Agnuak;Jor;#N/A;07/09/2006;Kiremt;Kiremt_2006;; ;; ; ;1650;1245;30915; 
 Amhara; Oromiya Zone;Jile Timuga;#N/A;30/11/2007;Kiremt;Kiremt_2007;; ;; ; ;50;60; ; 
 Amhara; Oromiya Zone;Jile Timuga;#N/A;30/11/2007;Kiremt;Kiremt_2007;; ;; ; ;50;60; ; 
 Amhara; Oromiya Zone;Jile Timuga;#N/A;07/09/2006;Kiremt;Kiremt_2006;;500,00;500;1; ;273;0;739; 
 Oromiya; East Shewa;Jarsso;#N/A;01/04/2010;Belge;Belge_2010;; ;; ; ;21;0; ; 
 Somali; Gode;Imiberi;#N/A;07/09/2006;Kiremt;Kiremt_2006;;75000,00;75000;29; ; ;0; ; 
 Somali; Gode;Imiberi;#N/A;07/09/2005;Kiremt;Kiremt_2005;;7000,00;7000;31; ;1500;20001; ; 
 Oromiya; South West Shoa;Illu Galan;040500;01/07/2010;Kiremt;Kiremt_2010;;14600,00;14600; ; ;950;0; ; 
 Harari; Harar;Hundene;#N/A;07/09/2005;Kiremt;Kiremt_2005;; ;; ; ;1835;0; ; 
 Harari; Harar;Hundene;#N/A;07/09/2005;Kiremt;Kiremt_2005;; ;; ; ;148;0; ; 
 Harari; Harar;Hundene;#N/A;07/09/2005;Kiremt;Kiremt_2005;; ;; ; ;115;0; ; 
 Somali; Afder;Guradamole;050801;05/12/2005;Kiremt;Kiremt_2005;;23000,00;23000;16; ; ;0; ; 
 Somali; Afder;Guradamole;050801;07/09/2005;Kiremt;Kiremt_2005;; ;; ; ; ;0; ;20
 Harari; Harar;Hundene;#N/A;07/09/2005;Kiremt;Kiremt_2005;; ;; ; ;74.5;0; ; 
 Harari; Harar;Hundene;#N/A;07/09/2005;Kiremt;Kiremt_2005;; ;; ; ;71;0; ; 
 Harari; Harar;Hundene;#N/A;07/09/2005;Kiremt;Kiremt_2005;; ;; ; ;3.5;0; ; 
 Harari; Harar;Hundene;#N/A;07/09/2005;Kiremt;Kiremt_2005;; ;; ; ;1.5;0; ; 
 Harari; Harar;Hundene;#N/A;22/06/2001;Belge;Belge_2001;;40,00;40; ; ; ;0; ; 
 Harari; Harar;Hundene;#N/A;22/06/2001;Belge;Belge_2001;;5,00;5; ; ; ;0; ; 
 Tigray; North Western Tigray;Humera /Town/;#N/A;01/08/2010;Kiremt;Kiremt_2010;;6909,00;6909; ; ; ;0; ; 
 Tigray; North Western Tigray;Humera /Town/;#N/A;07/09/2007;Kiremt;Kiremt_2007;;462,00;462; ; ; ;0; ; 
 Tigray; North Western Tigray;Humera /Town/;#N/A;01/08/2006;Kiremt;Kiremt_2006;; ;; ; ; ;0;400; 
 SNNPR; Sidama;Hula;#N/A;06/12/2006;Kiremt;Kiremt_2006;; ;;1;2;0.5;0; ;2
 Tigray; South Tigray;Hintalo Wajirat;#N/A;01/07/2010;Kiremt;Kiremt_2010;;1140,00;1140; ; ;769;0; ; 
 Tigray; South Tigray;Hintalo Wajirat;#N/A;01/07/2010;Kiremt;Kiremt_2010;;2495,00;2495; ; ; ;0;161; 
 SNNPR; Wolayita;Sodo Zuria;070605;07/09/2006;Kiremt;Kiremt_2006;;1363,00;1363; ; ; ;0; ; 
 SNNPR; Wolayita;Sodo Zuria;070605;07/09/2005;Kiremt;Kiremt_2005;;1363,00;1363; ; ;600;0; ;17
 SNNPR; Wolayita;Sodo Zuria;070605;05/12/2005;Kiremt;Kiremt_2005;; ;; ; ;631;0;1363;17
 SNNPR; Wolayita;Ofa;070607;07/09/2006;Kiremt;Kiremt_2006;;6240,00;6240; ; ; ;0; ; 
 SNNPR; Wolayita;Ofa;070607;01/08/2005;Kiremt;Kiremt_2005;;70,00;70;1; ;20;0; ; 
 SNNPR; Wolayita;Ofa;070607;01/08/2004;Kiremt;Kiremt_2004;; ;; ; ;160;0; ; 
 SNNPR; Wolayita;Ofa;070607;01/04/2004;Belge;Belge_2004;; ;; ; ;284;0; ;109
 SNNPR; Wolayita;Ofa;070607;02/12/2002;Kiremt;Kiremt_2002;; ;; ; ;402;0; ; 
 SNNPR; Sidama;Hawasa Zuria;#N/A;07/09/2006;Kiremt;Kiremt_2006;;41018,00;41018;8; ; ;0; ; 
 SNNPR; Wolayita;Humbo;070604;07/12/2007;Kiremt;Kiremt_2007;;6768,00;6768; ; ;364;3;3270;654
 SNNPR; Wolayita;Humbo;070604;07/09/2006;Kiremt;Kiremt_2006;;7885,00;7885; ; ; ;0; ; 
 SNNPR; Wolayita;Humbo;070604;06/12/2006;Kiremt;Kiremt_2006;; ;; ; ;435;0;1075; 
 SNNPR; Wolayita;Humbo;070604;07/09/2005;Kiremt;Kiremt_2005;;6755,00;6755;2; ;1017;0; ; 
 SNNPR; Wolayita;Humbo;070604;05/12/2005;Kiremt;Kiremt_2005;; ;;2; ;1017;1525;6755; 
 SNNPR; Wolayita;Damot Sore;070609;07/09/2008;Kiremt;Kiremt_2008;;12000,00;12000; ; ;200;0; ; 
 SNNPR; Wolayita;Damot Sore;070609;07/09/2007;Kiremt;Kiremt_2007;;6000,00;6000; ; ;400;0; ; 
 SNNPR; Wolayita;Damot Sore;070609;07/09/2006;Kiremt;Kiremt_2006;;650,00;650; ; ;39;0; ; 
 SNNPR; Wolayita;Damot Sore;070609;07/09/2006;Kiremt;Kiremt_2006;;860,00;860; ; ;10;0; ; 
 SNNPR; Wolayita;Damot Sore;070609;07/09/2005;Kiremt;Kiremt_2005;;1000,00;1000;12; ;150;40;4; 
 SNNPR; Wolayita;Damot Sore;070609;07/09/2004;Kiremt;Kiremt_2004;; ;; ; ;80;0; ; 
 SNNPR; Wolayita;Damot Sore;070609;07/09/2002;Kiremt;Kiremt_2002;;400,00;400; ; ;15;0; ; 
 Somali; Jijiga;Harshin;#N/A;07/09/2005;Kiremt;Kiremt_2005;;3050,00;3050; ; ; ;0; ;25
 Oromiya; East Shewa;Haromaya;#N/A;07/09/2007;Kiremt;Kiremt_2007;; ;; ; ;536;0; ; 
 Tigray; East Tigray;Gulo Meheda;#N/A;01/08/2010;Kiremt;Kiremt_2010;;806,00;806; ; ;115;0; ; 
 Amhara; North Welo;Gubalafto;#N/A;01/08/2010;Kiremt;Kiremt_2010;;26142,00;26142; ; ;1783;9; ; 
 SNNPR; South Omo;Male;070707;07/09/2007;Kiremt;Kiremt_2007;;30000,00;30000; ; ; ;0; ; 
 Oromiya; West Hararge;Guba Koricha;#N/A;01/08/2004;Kiremt;Kiremt_2004;; ;;1; ; ;0; ; 
 Amhara; North Gondar;Gonder Zuria;030110;01/08/2010;Kiremt;Kiremt_2010;;200,00;200; ; ;155;0; ; 
 Amhara; North Gondar;Gondar Zuria;#N/A;07/09/2007;Kiremt;Kiremt_2007;; ;; ; ;;11; ; 
 Amhara; North Gondar;Gondar Zuria;#N/A;07/09/2006;Kiremt;Kiremt_2006;;2810,00;2810; ; ;;29;3529; 
 Amhara; North Gondar;Gondar Zuria;#N/A;01/12/2006;Kiremt;Kiremt_2006;; ;; ; ;1500;0; ; 
 Amhara; North Gondar;Gondar Zuria;#N/A;06/12/2006;Kiremt;Kiremt_2006;;1533,00;1533; ; ;;39;437; 
 Oromiya; Bale;Gololcha;#N/A;01/07/2010;Kiremt;Kiremt_2010;;5000,00;5000; ; ; ;0; ; 
 Oromiya; Bale;Gololcha;#N/A;07/09/2008;Kiremt;Kiremt_2008;;1803,00;1803; ; ; ;0; ; 
 Oromiya; Bale;Gololcha;#N/A;07/09/2007;Kiremt;Kiremt_2007;;11882,00;11882; ; ;2409;0; ; 
 SNNPR; South Omo;Hamer;070704;07/09/2007;Kiremt;Kiremt_2007;;809,00;809; ; ; ;0; ; 
 SNNPR; South Omo;Hamer;070704;07/09/2007;Kiremt;Kiremt_2007;;943,00;943; ; ; ;0; ; 
 SNNPR; South Omo;Hamer;070704;07/09/2007;Kiremt;Kiremt_2007;;845,00;845; ; ; ;0; ; 
 SNNPR; South Omo;Hamer;070704;07/09/2007;Kiremt;Kiremt_2007;;1263,00;1263; ; ; ;0; ; 
 SNNPR; South Omo;Hamer;070704;07/09/2007;Kiremt;Kiremt_2007;;1417,00;1417; ; ; ;0; ; 
 SNNPR; South Omo;Hamer;070704;07/09/2007;Kiremt;Kiremt_2007;;1420,00;1420; ; ; ;0; ; 
 SNNPR; South Omo;Hamer;070704;07/09/2007;Kiremt;Kiremt_2007;;20000,00;20000; ; ; ;0; ; 
 SNNPR; South Omo;Hamer;070704;07/09/2007;Kiremt;Kiremt_2007;;1843,00;1843; ; ; ;0; ; 
 SNNPR; South Omo;Hamer;070704;07/09/2007;Kiremt;Kiremt_2007;;1843,00;1843; ; ; ;0; ; 
 SNNPR; South Omo;Hamer;070704;07/09/2007;Kiremt;Kiremt_2007;;1843,00;1843; ; ; ;0; ; 
 SNNPR; South Omo;Hamer;070704;07/09/2002;Kiremt;Kiremt_2002;; ;; ; ;40;0; ; 
 SNNPR; South Omo;Gelila;070703;07/09/2007;Kiremt;Kiremt_2007;;15000,00;15000; ; ; ;0; ; 
 Oromiya; Arsi;Gololcha;#N/A;16/04/2005;Belge;Belge_2005;; ;; ; ; ;0; ;20
Afar;;Gewane ;#N/A;10/08/2012;Kiremt;Kiremt_2012;5000,00;;5000;;;;;;
 Oromiya; Bale;Gassera;#N/A;01/07/2010;Kiremt;Kiremt_2010;;9300,00;9300; ; ; ;0; ; 
 Tigray; East Tigray;Ganta Afshum;#N/A;01/08/2010;Kiremt;Kiremt_2010;;8310,00;8310; ; ;277;0; ; 
 Gambella; Agnuak;Gambella;#N/A;07/09/2000;Kiremt;Kiremt_2000;;6,00;6; ; ; ;0;61592; 
 Oromiya; East Shewa;Fientale;#N/A;01/08/2010;Kiremt;Kiremt_2010;;9000,00;9000; ; ;46;0;900; 
 Oromiya; East Shewa;Fientale;#N/A;07/09/2007;Kiremt;Kiremt_2007;;560,00;560; ; ; ;0; ; 
 Oromiya; East Shewa;Fientale;#N/A;20/04/2007;Belge;Belge_2007;;560,00;560; ; ;31;0; ; 
 Oromiya; East Shewa;Fadis;#N/A;01/08/2010;Kiremt;Kiremt_2010;; ;; ; ;7342;0; ; 
 SNNPR; Gurage;Enemor Ener;#N/A;01/08/2005;Kiremt;Kiremt_2005;; ;; ; ;381;0; ; 
 SNNPR; Gurage;Enemor Ener;#N/A;01/08/2004;Kiremt;Kiremt_2004;;6000,00;6000;1; ;487;3; ; 
 Amhara; East Gojam;Enbise Sar Midir;030604;01/08/2010;Kiremt;Kiremt_2010;;9910,00;9910; ; ;528;464; ; 
 Oromiya; East Shewa;Ejerie;#N/A;01/07/2010;Kiremt;Kiremt_2010;;500,00;500; ; ; ;0; ; 
 Amhara; North Shewa;Efrata Gidim;#N/A;16/05/2009;Belge;Belge_2009;;124,00;124; ; ;;13;124;39
 Amhara; North Shewa;Efrata Gidim;#N/A;01/08/2007;Kiremt;Kiremt_2007;; ;; ; ;195;0; ;14
 Amhara; North Shewa;Efrata Gidim;#N/A;07/09/2006;Kiremt;Kiremt_2006;;77,00;77; ; ;135.15;17; ; 
 Amhara; North Shewa;Efrata Gidim;#N/A;12/08/2006;Kiremt;Kiremt_2006;;77,00;77; ; ;3.01;0;77; 
 Amhara; North Shewa;Efrata Gidim;#N/A;07/09/2000;Kiremt;Kiremt_2000;; ;;2; ; ;0; ; 
Somali;Shebelle;East Imey;#N/A;02/11/2015;Kiremt;Kiremt_2015;102000,00;;102000;5;;;10000;;
 Amhara; North Gondar;East Belesa;030117;01/08/2010;Kiremt;Kiremt_2010;;1134,00;1134; ; ;540;31; ; 
 Afar; Zone 3;Dulacha;#N/A;07/09/2006;Kiremt;Kiremt_2006;;4443,00;4443; ; ;;332;4000; 
 Afar; Zone 3;Dulacha;#N/A;01/08/2006;Kiremt;Kiremt_2006;;4000,00;4000; ; ; ;0; ; 
 Dire Dawa; Dire Dawa;Diredawa;#N/A;06/12/2006;Kiremt;Kiremt_2006;; ;;371;228; ;0; ;1685
 Dire Dawa; Dire Dawa;Diredawa;#N/A;07/09/2005;Kiremt;Kiremt_2005;; ;;32; ; ;0; ; 
 SNNPR; South Omo;Gelila;070703;05/08/2002;Kiremt;Kiremt_2002;; ;;3; ; ;0; ; 
 Dire Dawa; Dire Dawa;Diredawa;#N/A;20/05/2005;Belge;Belge_2005;; ;;27; ; ;0; ; 
 Dire Dawa; Dire Dawa;Diredawa;#N/A;20/05/2005;Belge;Belge_2005;; ;;32; ; ;0; ; 
 Amhara; Oromiya Zone;Dewe Harewa;#N/A;07/09/2006;Kiremt;Kiremt_2006;;2219,00;2219; ; ;509;0;739; 
 SNNPR; Silte;Sankura;072006;01/07/2004;Kiremt;Kiremt_2004;;1920,00;1920;1; ;1063;348; ; 
 Amhara; Oromiya Zone;Dewe Harewa;#N/A;07/09/2006;Kiremt;Kiremt_2006;;4125,00;4125; ; ; ;0; ; 
 Amhara; Oromiya Zone;Dewe Harewa;#N/A;07/09/2006;Kiremt;Kiremt_2006;;2645,00;2645; ; ;1441;178;2645;638
 Amhara; South Welo;Desse Zuria;#N/A;01/08/2010;Kiremt;Kiremt_2010;;27687,00;27687; ; ;1735;2;14; 
 Amhara; South Welo;Desse Zuria;#N/A;01/06/2004;Belge;Belge_2004;; ;;4;10; ;0; ; 
 Amhara; South Welo;Dese ./Town/;#N/A;01/08/2010;Kiremt;Kiremt_2010;;8421,00;8421; ; ;478;17;55; 
 SNNPR; Derashe;Derashe Sp. Wer;#N/A;01/05/2002;Belge;Belge_2002;; ;;2;1; ;0; ; 
 SNNPR; Sidama;Dara;070406;07/09/2007;Kiremt;Kiremt_2007;;3240,00;3240; ; ; ;0; ; 
 SNNPR; Sidama;Dara;070406;07/09/2007;Kiremt;Kiremt_2007;;3240,00;3240; ; ; ;0; ; 
 SNNPR; Sidama;Dara;070406;07/09/2007;Kiremt;Kiremt_2007;;2470,00;2470; ; ; ;0; ; 
 SNNPR; Sidama;Dara;070406;07/12/2007;Kiremt;Kiremt_2007;;3240,00;3240; ; ;370;0; ;100
 SNNPR; Sidama;Dara;070406;01/05/2004;Belge;Belge_2004;; ;;2; ;1040;0; ; 
 SNNPR; Sidama;Dale;070404;07/09/2006;Kiremt;Kiremt_2006;;2580,00;2580; ; ; ;0; ; 
 SNNPR; Sidama;Dale;070404;07/09/2006;Kiremt;Kiremt_2006;;3600,00;3600; ; ; ;0; ; 
 SNNPR; Sidama;Dale;070404;06/12/2006;Kiremt;Kiremt_2006;; ;;2;1;;8; ;25
 SNNPR; Derashe;Derashe Sp. Wer;#N/A;07/09/2001;Kiremt;Kiremt_2001;; ;;1; ; ;0; ; 
 SNNPR; Gamugofa;Deramalo;#N/A;07/09/2006;Kiremt;Kiremt_2006;;1658,00;1658; ; ; ;0; ; 
 Amhara; East Gojam;Debay Tilatgen;#N/A;01/08/2004;Kiremt;Kiremt_2004;; ;; ; ;1800;0; ;380
 Amhara; North Welo;Dawnt;#N/A;01/08/2010;Kiremt;Kiremt_2010;;9260,00;9260; ; ;1250;416;15; 
 Somali; Gode;Danan;#N/A;07/09/2006;Kiremt;Kiremt_2006;; ;; ; ; ;0;5000; 
 Somali; Gode;Danan;#N/A;07/09/2006;Kiremt;Kiremt_2006;;8250,00;8250;3; ; ;0; ; 
 Somali; Gode;Danan;#N/A;07/09/2006;Kiremt;Kiremt_2006;;8250,00;8250; ; ; ;0; ; 
 Somali; Gode;Danan;#N/A;07/09/2006;Kiremt;Kiremt_2006;; ;; ; ;;80; ;3
 Somali; Gode;Danan;#N/A;07/09/2005;Kiremt;Kiremt_2005;;3500,00;3500;1; ;3116;384; ;28
 Afar; Zone 4;Dalol;#N/A;15/08/2010;Kiremt;Kiremt_2010;;2420,00;2420; ; ; ;0; ; 
 Afar; Zone 3;Dalol;#N/A;25/08/2010;Kiremt;Kiremt_2010;;1850,00;1850; ; ; ;0; ; 
 SNNPR; Kefa;Decha;070908;07/09/2007;Kiremt;Kiremt_2007;;11,00;11; ; ; ;0; ; 
 Afar; Zone 2;Dalol;#N/A;25/08/2010;Kiremt;Kiremt_2010;;1800,00;1800; ; ;;25;1800; 
 Afar; Zone 2;Dalol;#N/A;07/09/2007;Kiremt;Kiremt_2007;;320,00;320; ; ; ;0; ; 
 Afar; Zone 2;Dalol;#N/A;07/12/2007;Kiremt;Kiremt_2007;;6000,00;6000; ; ; ;0; ; 
 SNNPR; Gurage;Sodo;070105;06/12/2006;Kiremt;Kiremt_2006;; ;; ; ; ;0;358; 
 SNNPR; Gurage;Muhur Na Aklil;070112;06/12/2006;Kiremt;Kiremt_2006;; ;; ; ; ;0;143; 
 SNNPR; Gurage;Meskan;070106;07/09/2005;Kiremt;Kiremt_2005;; ;; ; ; ;0; ;50
 SNNPR; Gurage;Mareko;070107;07/12/2007;Kiremt;Kiremt_2007;;5560,00;5560; ; ;;1710;1255;2
 Oromiya; East Shewa;Chinaksan;#N/A;07/09/2007;Kiremt;Kiremt_2007;; ;; ; ;3880;0; ; 
 SNNPR; Sidama;Cheko;#N/A;07/09/2007;Kiremt;Kiremt_2007;;2864,00;2864; ; ; ;0; ; 
 SNNPR; Sidama;Cheko;#N/A;07/09/2007;Kiremt;Kiremt_2007;;2864,00;2864; ; ;359;0; ; 
 SNNPR; ;Kelafo;050605;27/05/2003;Belge;Belge_2003;;91050,00;91050; ; ; ;0; ; 
 Amhara; Oromiya Zone;Chefa Gola;#N/A;01/08/2010;Kiremt;Kiremt_2010;;8840,00;8840; ; ; ;0;1135; 
 SNNPR; Gedeo;Yirgachefe;070502;01/05/2004;Belge;Belge_2004;;510,00;510; ; ; ;0; ; 
 SNNPR; Gedeo;Yirgachefe;070502;01/05/2004;Belge;Belge_2004;; ;; ; ;69;0; ; 
 SNNPR; Gedeo;Wenago;070501;01/04/2004;Belge;Belge_2004;; ;; ; ;400;0; ; 
 SNNPR; Gedeo;Dila Zuria;070505;07/12/2007;Kiremt;Kiremt_2007;; ;; ; ;2145;2;20989;2
 SNNPR; Gedeo;Bule;070504;07/09/2005;Kiremt;Kiremt_2005;; ;; ; ;1;0; ; 
 SNNPR; Gedeo;Bule;070504;07/09/2005;Kiremt;Kiremt_2005;; ;; ; ;36;0;555; 
 SNNPR; Gedeo;Bule;070504;01/05/2004;Belge;Belge_2004;; ;; ; ;6.5;0; ; 
 SNNPR; Gamugofa;Kucha;071003;07/09/2005;Kiremt;Kiremt_2005;;7720,00;7720;2; ;;1525; ; 
 Afar; Zone 5;Bure Mudayitu;#N/A;15/08/2010;Kiremt;Kiremt_2010;;4120,00;4120; ; ;;125;4120; 
 Afar; Zone 4;Bure Mudayitu;#N/A;15/08/2010;Kiremt;Kiremt_2010;;5000,00;5000; ; ; ;0; ; 
 Afar; Zone 3;Bure Mudayitu;#N/A;15/08/2010;Kiremt;Kiremt_2010;;3670,00;3670; ; ; ;0; ; 
 Afar; Zone 3;Bure Mudayitu;#N/A;24/08/2007;Kiremt;Kiremt_2007;;4300,00;4300; ; ; ;0;4300; 
 SNNPR; Gamugofa;Kucha;071003;03/12/2003;Kiremt;Kiremt_2003;; ;;5;1; ;0;400;15
 SNNPR; Gamugofa;Kemba;071012;07/09/2005;Kiremt;Kiremt_2005;;4,00;4; ; ; ;0; ; 
 SNNPR; Gamugofa;Kemba;071012;03/12/2003;Kiremt;Kiremt_2003;; ;;1; ;50;0;20;3
 SNNPR; Gamugofa;Dita;071008;03/12/2003;Kiremt;Kiremt_2003;; ;;11;5;924;201;7381;136
 Afar; Zone 3;Bure Mudayitu;#N/A;01/08/2006;Kiremt;Kiremt_2006;;10000,00;10000; ; ;;219; ; 
 SNNPR; Gamugofa;Chencha;071007;03/12/2003;Kiremt;Kiremt_2003;; ;; ;5;289;8;346;57
 SNNPR; Gamugofa;Bonke;071013;07/12/2007;Kiremt;Kiremt_2007;; ;;5; ;606;0;2205; 
 SNNPR; Gamugofa;Bonke;071013;07/09/2007;Kiremt;Kiremt_2007;;445,00;445; ; ;945;55;445;89
 SNNPR; Gamugofa;Bonke;071013;07/09/2006;Kiremt;Kiremt_2006;; ;; ; ;300;144; ; 
 SNNPR; Gamugofa;Bonke;071013;07/09/2004;Kiremt;Kiremt_2004;; ;; ; ; ;0;500; 
 Oromiya; East Shewa;bora;040710;01/08/2010;Kiremt;Kiremt_2010;;5000,00;5000;1;;500;235;2000; 
 SNNPR; South Omo;Bena Tsemai;#N/A;07/09/2007;Kiremt;Kiremt_2007;;25000,00;25000; ; ; ;0; ; 
 SNNPR; South Omo;Bena Tsemai;#N/A;07/09/2007;Kiremt;Kiremt_2007;;2020,00;2020; ; ;93.5;0; ; 
 SNNPR; South Omo;Bena Tsemai;#N/A;07/09/2007;Kiremt;Kiremt_2007;;1045,00;1045; ; ;45;0; ; 
 SNNPR; South Omo;Bena Tsemai;#N/A;07/09/2007;Kiremt;Kiremt_2007;;825,00;825; ; ;35;0; ; 
 SNNPR; South Omo;Bena Tsemai;#N/A;07/09/2007;Kiremt;Kiremt_2007;;4168,00;4168; ; ; ;0; ; 
 SNNPR; South Omo;Bena Tsemai;#N/A;07/09/2002;Kiremt;Kiremt_2002;;3500,00;3500; ; ; ;0; ; 
 SNNPR; Gamugofa;Kucha;071003;07/09/2002;Kiremt;Kiremt_2002;;400,00;400;5; ;;201; ; 
 SNNPR; Gamugofa;Dita;071008;07/09/2002;Kiremt;Kiremt_2002;;7381,00;7381; ; ; ;0; ; 
 SNNPR; Gamugofa;Bonke;071013;07/09/2002;Kiremt;Kiremt_2002;;1519,00;1519; ; ; ;0; ; 
 SNNPR; Basketo Sp. Wer;Basketo;#N/A;06/12/2006;Kiremt;Kiremt_2006;; ;; ; ;4425;0;330; 
 SNNPR; South Omo;Bako Gazer (Debub Ari);#N/A;17/06/2007;Belge;Belge_2007;; ;;4; ;2861;87; ; 
 SNNPR; Dawuro;Mareka;071702;01/05/2004;Belge;Belge_2004;; ;; ; ;220;0; ; 
 SNNPR; South Omo;Bako Gazer (Debub Ari);#N/A;17/06/2007;Belge;Belge_2007;; ;;4; ;;87; ; 
 SNNPR; Amaro Sp. Wer.;Amaro;071302;07/09/2009;Kiremt;Kiremt_2009;;1752,00;1752; ; ;252.5;0; ; 
 SNNPR; Amaro Sp. Wer.;Amaro;071302;07/09/2009;Kiremt;Kiremt_2009;;1148,00;1148; ; ;68.4;0; ; 
 SNNPR; Amaro Sp. Wer.;Amaro;071302;07/09/2009;Kiremt;Kiremt_2009;;1676,00;1676; ; ;30;0; ; 
 SNNPR; Amaro Sp. Wer.;Amaro;071302;07/09/2009;Kiremt;Kiremt_2009;;636,00;636;1; ;20.2;0; ; 
 SNNPR; Amaro Sp. Wer.;Amaro;071302;07/09/2009;Kiremt;Kiremt_2009;;473,00;473; ; ;12.6;0; ; 
 SNNPR; Amaro Sp. Wer.;Amaro;071302;07/09/2009;Kiremt;Kiremt_2009;;271,00;271; ; ;12.3;0; ; 
 SNNPR; Amaro Sp. Wer.;Amaro;071302;07/09/2009;Kiremt;Kiremt_2009;;1158,00;1158; ; ;12.25;0; ; 
 SNNPR; Amaro Sp. Wer.;Amaro;071302;07/09/2009;Kiremt;Kiremt_2009;;394,00;394; ; ;6.8;0; ; 
 SNNPR; Amaro Sp. Wer.;Amaro;071302;07/09/2009;Kiremt;Kiremt_2009;;60,00;60; ; ;1.7;0; ; 
 SNNPR; Amaro Sp. Wer.;Amaro;071302;19/02/2008;Belge;Belge_2008;;7,00;7;1; ;0.25;0; ; 
 SNNPR; Amaro Sp. Wer.;Amaro;071302;07/09/2006;Kiremt;Kiremt_2006;;4140,00;4140; ; ; ;0; ; 
 SNNPR; Amaro Sp. Wer.;Amaro;071302;05/12/2005;Kiremt;Kiremt_2005;; ;;6; ;240;23;4140;46
 SNNPR; South Omo;Bako Gazer (Debub Ari);#N/A;07/09/2007;Kiremt;Kiremt_2007;;10000,00;10000; ; ; ;0; ; 
 SNNPR; South Omo;Bako Gazer (Debub Ari);#N/A;30/11/2007;Kiremt;Kiremt_2007;; ;; ; ;115.56;8; ; 
 SNNPR; South Omo;Bako Gazer (Debub Ari);#N/A;30/11/2007;Kiremt;Kiremt_2007;; ;; ; ;9;8; ;4
 SNNPR; South Omo;Bako Gazer (Debub Ari);#N/A;30/11/2007;Kiremt;Kiremt_2007;;39,00;39;2; ;;14; ;2
 SNNPR; South Omo;Bako Gazer (Debub Ari);#N/A;30/11/2007;Kiremt;Kiremt_2007;; ;; ; ;7282;17; ; 
 Oromiya; Bale;Ginir;041108;07/09/2007;Kiremt;Kiremt_2007;; ;; ; ;592;0; ; 
 Oromiya; Arsi;Robe;040812;07/09/2007;Kiremt;Kiremt_2007;; ;; ; ;160;0; ; 
 SNNPR; South Omo;Bako Gazer (Debub Ari);#N/A;30/11/2007;Kiremt;Kiremt_2007;; ;; ; ;2353.5;4; ; 
 SNNPR; South Omo;Bako Gazer (Debub Ari);#N/A;30/11/2007;Kiremt;Kiremt_2007;; ;; ; ;4;26; ;2
 SNNPR; South Omo;Bako Gazer (Debub Ari);#N/A;30/11/2007;Kiremt;Kiremt_2007;; ;; ; ;2.83;4; ; 
 SNNPR; South Omo;Bako Gazer (Debub Ari);#N/A;30/11/2007;Kiremt;Kiremt_2007;; ;; ; ;45.66;8; ;16
 SNNPR; South Omo;Bako Gazer (Debub Ari);#N/A;30/11/2007;Kiremt;Kiremt_2007;; ;; ; ;19.1;4; ; 
 Oromiya; West Shewa;Cheliya;040505;01/05/2003;Belge;Belge_2003;; ;; ; ;;12; ; 
 SNNPR; South Omo;Bako Gazer (Debub Ari);#N/A;30/11/2007;Kiremt;Kiremt_2007;; ;; ; ;124.5;5; ; 
 SNNPR; South Omo;Bako Gazer (Debub Ari);#N/A;30/11/2007;Kiremt;Kiremt_2007;; ;; ; ;2;2; ; 
